紅頸鳳蝶,2500,2000,3750,早上8點到下午17點,飛行,,,,,
昆蟲,一般收購價,收購箱,龍克斯,出沒時間,地點,※特殊出現條件,,,,
大紫霞蝶,3000,2400,4500,凌晨4點到晚上19點,飛行,,,,,
青帶鳳蝶,300,240,450,凌晨4點到晚上19點,飛行,,,,,
鳳蝶,240,192,360,凌晨4點到晚上19點,飛行,,,,,
亞歷山大鳳蝶,4000,3200,6000,早上8點到下午16點,飛行,,,,,
日落蛾,2500,2000,3750,早上8點到下午16點,飛行,,,,,
無霸勾蜓,4500,3600,6750,早上8點到下午17點,飛行,,,,,
彩襖霞蝶,3000,2400,4500,早上8點到下午17點,飛行,,,,,
蘭花螳螂,2400,1920,3600,早上8點到下午17點,花上,,,,,
熊蟬(new),500,400,750,早上8點到下午17點,樹幹,,,,,
螳螂,430,344,645,早上8點到下午17點,花上,,,,,
斑透翅蟬(new),300,240,450,早上8點到下午17點,樹幹,,,,,
油蟬(new),250,200,375,早上8點到下午17點,樹幹,,,,,
綠胸晏蜓,230,184,345,早上8點到下午17點,飛行,,,,,
蜜蜂,200,160,300,早上8點到下午17點,飛行,,,,,
蚱蜢(new),200,160,300,早上8點到下午17點,地上,,,,,
大白斑蝶,1000,800,1500,早上8點到晚上19點,飛行,,,,,
龍蝨,800,640,1200,早上8點到晚上19點,水上,河川 or 池塘上漂,,,,
中華劍角蝗,200,160,300,早上8點到下午19點,地上,,,,,
水黽,130,104,195,早上8點到晚上19點,水上,河川 or 池塘上漂,,,,
竹節蟲(new),600,480,900,"凌晨4點到早上8點
下午16點到晚上19點",樹幹,,,,,
暮蟬(new),550,440,825,"凌晨4點到早上8點
下午16點到晚上19點",樹幹,,,,,
長頸鹿鋸鍬形蟲(new),12000,9600,18000,下午17點到隔天早上8點,樹幹(椰樹),,,,,
黃金鬼鍬形蟲(new),12000,9600,18000,下午17點到隔天早上8點,樹幹(椰樹),,,,,
長戟大兜蟲(new),12000,9600,18000,下午17點到隔天早上8點,樹幹(椰樹),,,,,
高卡薩斯南洋大兜蟲(new),8000,6400,12000,下午17點到隔天早上8點,樹幹(椰樹),,,,,
象兜蟲(new),8000,6400,12000,下午17點到隔天早上8點,樹幹(椰樹),,,,,
細身赤鍬形蟲(new),8000,6400,12000,下午17點到隔天早上8點,樹幹(椰樹),,,,,
哥利亞大角花金龜,8000,6400,12000,下午17點到隔天早上8點,樹幹(椰樹),,,,,
大藍閃蝶,4000,3200,6000,下午17點到隔天早上8點,飛行,,,,,
獨角仙(new),1350,1080,2025,下午17點到隔天早上8點,樹幹,,,,,
蚊子,130,104,195,下午17點到隔天早上8點,飛行,,,,,
蠍子,8000,6400,12000,晚上19點到隔天凌晨4點,地上,,,,,
皇蛾,3000,2400,4500,晚上19點到隔天凌晨4點,樹幹,,,,,
飛蛾,130,104,195,晚上19點到隔天凌晨4點,飛行,,,,,
彩虹鍬形蟲,6000,4800,9000,晚上19點到隔天早上8點,樹幹,,,,,
田鱉,2000,1600,3000,晚上19點到隔天早上8點,水上,河川 or 池塘上漂,,,,
人面椿象,1000,800,1500,晚上19點到隔天早上8點,花上,,,,,
寄居蟹,1000,800,1500,晚上19點到隔天早上8點,沙灘,擬態海螺,,,,
蜘蛛,600,480,900,晚上19點到隔天早上8點,樹上,搖樹 or 敲樹,,,,
寶石金龜(new),10000,8000,15000,晚上23點到隔天早上8點,樹幹,,,,,
大鍬形蟲(new),10000,8000,15000,晚上23點到隔天早上8點,樹幹,,,,,
琉璃星天牛,3000,2400,4500,全天,樹樁,砍倒樹木留樹樁,,,,
黃蜂,2500,2000,3750,全天,飛行,搖樹 or 敲樹 (會掉落蜂巢),,,,
吉丁蟲,2400,1920,3600,全天,樹樁,砍倒樹木留樹樁,,,,
鋸鍬形蟲(new),2000,1600,3000,全天,樹幹,,,,,
虎甲蟲,1500,1200,2250,全天,地上,,,,,
深山鍬形蟲(new),1000,800,1500,全天,樹幹,,,,,
寶石象鼻蟲(new),800,640,1200,全天,樹幹(椰樹),,,,,
葉竹隱蟲(new),600,480,900,全天,樹下擬態葉子,,,,,
蓑衣蟲,600,480,900,全天,樹上,搖樹 or 敲樹,,,,
星天牛,350,280,525,全天,樹樁,砍倒樹木留樹樁,,,,
雪隱金龜(new),300,240,450,全天,地上,,,,,
蝸牛,250,200,375,全天(雨天),石頭or樹叢,,,,,
海蟑螂,200,160,300,全天,黑色岩石,,,,,
日銅鑼花金龜,200,160,300,全天,樹幹,,,,,
椿象,120,96,180,全天,花上,,,,,
螞蟻,80,64,120,全天,地上,腐爛大頭菜旁,,,,
跳蚤,70,56,105,全天,居民,居民身上，與居民對話時會說身上好癢,,,,
蒼蠅,60,48,90,全天,廢棄物上,空罐、長靴、輪胎、腐爛大頭菜丟在地上,,,,
蟬蛻(new),10,8,15,全天,樹幹,,,,,
,,,,,,,,,,
※危險生物,,,,,,,,,,
黃蜂 ,被叮一次臉腫，兩次暈倒，會拿到成就,,,,,,,,,
蠍子,被螫一次就暈倒，會拿到成就,,,,,,,,,
,,,,,,,0.8,,,
魚,一般收購價,收購箱,俞司廷,出沒時間,,貝類,一般收購價,收購箱,出沒時間,
河川,,,,,,花園鰻,1100,880,凌晨4點到晚上21點,5~10
黃金河虎,15000,12000,22500,凌晨4點到晚上21點,,大王具足蟲,12000,9600,"早上9點到下午16點
晚上21點到凌晨4點",7~10
鬥魚,2500,2000,3750,早上9點到下午16點,,吸血烏賊,10000,8000,下午16點到隔天早上9點,5~8
溫泉醫生魚,1500,1200,2250,早上9點到下午16點,,日本囊對蝦,3000,2400,下午16點到隔天早上9點,6~9
孔雀魚,1300,1040,1950,早上9點到下午16點,,蝦蛄,2500,2000,下午16點到隔天早上9點,全年
霓虹燈魚,500,400,750,早上9點到下午16點,,鮑魚,2000,1600,下午16點到隔天早上9點,6~1
溪哥,200,160,300,早上9點到下午16點,,石筆海膽,2000,1600,下午16點到隔天早上9點,5~9
藍鰓太陽魚,180,144,270,早上9點到下午16點,,鱟,2500,2000,晚上21點到隔天凌晨4點,7~9
骨舌魚,10000,8000,15000,下午16點到隔天早上9點,,大硨蟝,15000,12000,全天,5~9
