,name,engName,price,location,time
0,鳳蝶,tiger butterfly,240,飛行,4:00~19:00
1,青帶鳳蝶,common bluebottle,300,飛行,4:00~19:00
2,大白斑蝶,paper kite butterfly,"1,000",飛行,4:00~19:00
3,大紫蛺蝶,great purple emperor,"3,000",飛行,4:00~19:00
4,大藍閃蝶,emperor butterfly,"4,000",飛行,17:00~8:00
5,彩襖蛺蝶,agrias butterfly,"3,000",飛行,08:00~17:00
6,紅頸鳳蝶,Rajah Brooke's birdwing,"2,500",飛行,08:00~17:00
7,亞歷山大鳳蝶,Queen Alexandra's birdwing,"4,000",飛行,08:00~16:00
8,飛蛾,moth,130,戶外燈光處,19:00~4:00
9,皇蛾,Atlas moth,"3,000",樹幹,19:00~4:00
10,日落蛾,Madagascan sunset moth,"2,500",飛行,08:00~16:00
11,中華劍角蝗,long locust,200,地面,08:00~19:00
12,蚱蜢,grasshopper,160,地面,08:00~17:00
13,螳螂,mantis,430,花上,08:00~17:00
14,蘭花螳螂,orchid mantis,"2,400",花上,08:00~17:00
15,蜜蜂,honeybee,200,花叢附近,08:00~17:00
16,黃蜂,wasp,"2,500",搖樹掉蜂巢,全天
17,油蟬,brown cicada,250,樹幹,08:00~17:00
18,斑透翅蟬,robust cicada,300,樹幹,08:00~17:00
19,熊蟬,giant cicada,500,樹幹,08:00~17:01
20,暮蟬,evening cicada,550,樹幹,4~8、16~19
21,蟬蛻,cicada shell,10,樹幹,全天
22,綠胸晏蜓,darner dragonfly,230,水邊,08:00~17:00
23,無霸勾蜓,banded dragonfly,"4,500",水邊,08:00~17:00
24,水黽,pondskater,130,池塘水面,08:00~19:00
25,龍蝨,diving beetle,800,池塘或河流,08:00~19:00
26,田鱉,giant water bug,"2,000",池塘或河流,19:00~8:00
27,椿象,stinkbug,120,花上,全天
28,人面椿象,man-faced stink bug,"1,000",花上,19:00~8:00
29,虎甲蟲,tiger beetle,"1,500",地上,全天
30,吉丁蟲,jewel beetle,"2,400",樹樁,全天
31,星天牛,citrus long-horned beetle,350,樹樁,全天
32,琉璃星天牛,rosalia batesi beetle,"3,000",樹樁,全天
33,寶石象鼻蟲,blue weevil beetle,800,樹幹,全天
34,雪隱金龜,earth-boring dung beetle,300,地上,全天
35,寶石金龜,scarab beetle,"10,000",樹幹,23:00~08:00
36,日銅鑼花金龜,drone beetle,200,樹幹,全天
37,哥利亞大角花金龜,goliath beetle,"8,000",樹幹,17:00~08:00
38,鋸鍬形蟲,saw stag,"2,000",樹幹,全天
39,深山鍬形蟲,miyama stag,"1,000",樹幹,全天
40,大鍬形蟲,giant stag,"10,000",樹幹,23:00~08:00
41,彩虹鍬形蟲,rainbow stag,"6,000",樹幹,19:00~08:00
42,細身赤鍬形蟲,cyclommatus stag,"8,000",樹幹,17:00~08:00
43,黃金鬼鍬形蟲,golden stag,"12,000",樹幹,17:00~08:00
44,長頸鹿鋸鍬形蟲,giraffe stag,"12,000",樹幹,17:00~08:00
45,獨角仙,horned dynastid,"1,350",樹幹,17:00~08:00
46,高卡薩斯南洋大兜蟲,horned atlas,"8,000",樹幹,17:00~08:00
47,象兜蟲,horned elephant,"8,000",樹幹,17:00~08:00
48,長戟大兜蟲,horned hercules,"12,000",樹幹,17:00~08:00
49,竹節蟲,walking stick,600,樹幹,4~8、17~19
50,葉竹節蟲,walking leaf,600,地面上擬態樹葉,全天
51,蓑衣蟲,bagworm,600,樹幹(搖晃或敲擊),全天
52,螞蟻,ant,80,地上(壞大頭菜或雨天),全天
53,寄居蟹,hermit crab,"1,000",沙灘,19:00~8:00
54,海蟑螂,wharf roach,200,海岸岩石上,全天
55,蚊子,mosquito,130,飛行,17:00~4:00
56,跳蚤,flea,70,居民身上,全天
57,蝸牛,snail,250,岩石上,全天
58,蜘蛛,spider,600,樹幹(搖晃或敲擊),19:00~8:00
59,蠍子,scorpion,"8,000",草地、普通地面,19:00~4:00
